"","a1","a1a1","a2","a2a2","a3","a3a3","a4a4","a5a5","a6a6","a7a7","a8a8","a9a9","b1b1","b2","b3","b4","b5","b5a1","b5b2","b5b5","cluster"
"1065",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1066",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1067",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1068",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1069",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"107",14,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,0,15
"1070",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1071",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1073",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1075",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1076",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1077",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"1078",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1079",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,28,0,0,0,3
"1082",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1083",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1084",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1085",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1086",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1088",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1089",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"109",10,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,12,0,0,8,14
"1091",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1093",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1094",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1095",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1096",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7
"1097",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1099",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"11",9,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,10,0,0,5,14
"110",14,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,10,0,0,13,14
"1100",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1101",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1102",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
