0,r
128,s
12,r
32,r
21,r
30,r
35,s
6,r
2,r
9,r
10,s
30,r
13,r
7,s
59,r
16,r
5,r
41,r
97,r
3,s
31,r
169,r
4,r
28,r
268,r
112,r
54,s
19,r
32,r
11,r
47,s
48,r
9,r
127,r
0,r
37,r
156,r
74,s
41,r
64,r
43,r
21,r
95,r
15,r
28,r
68,r
14,r
36,s
51,s
14,s
20,r
28,r
91,r
37,r
13,r
37,r
26,s
36,r
66,r
22,r
51,r
47,r
126,r
33,r
122,r
4,r
12,s
71,r
55,r
5,r
126,s
5,r
27,r
41,s
24,r
31,r
98,r
6,r
119,r
17,r
136,s
7,r
2,r
116,r
189,r
3,r
112,r
18,s
27,s
56,r
24,r
55,r
25,r
119,r
23,r
22,s
61,s
27,r
98,r
35,r
1,r
50,s
106,r
4,r
53,r
8,s
28,r
60,r
105,r
62,r
133,r
66,r
17,s
31,r
3,r
33,r
45,r
11,s
43,r
21,r
33,r
46,s
6,r
16,r
99,s
1,r
9,s
2,r
128,r
154,r
47,r
4,s
162,r
23,r
136,r
50,r
106,r
23,s
8,r
18,s
36,r
50,r
59,r
10,r
118,r
39,s
3,s
117,r
87,r
61,r
36,r
51,r
54,r
21,s
81,r
1,r
29,r
117,r
13,r
40,s
151,r
8,r
116,r
111,r
27,r
6,r
73,r
4,r
18,s
40,r
6,r
19,r
34,r
31,r
48,r
10,r
65,r
27,r
33,r
20,r
7,r
12,s
19,r
13,r
0,r
5,s
47,r
42,r
7,r
59,r
23,r
57,r
147,r
29,s
67,r
58,r
47,s
15,r
93,r
38,r
151,r
7,r
29,s
90,r
52,r
100,r
42,r
123,r
118,r
37,r
6,r
55,s
46,r
25,r
17,s
43,r
49,r
4,r
135,r
33,r
37,r
56,r
81,s
8,r
64,r
60,r
1,r
48,r
21,s
148,r
54,r
55,r
46,s
70,r
31,r
61,r
8,r
67,s
47,r
8,r
2,r
43,r
51,r
17,s
99,r
35,r
50,r
84,r
21,s
13,r
34,s
18,s
9,r
142,r
27,r
150,r
135,r
166,r
109,r
54,r
11,s
82,r
86,r
19,r
107,r
20,r
41,s
68,r
124,r
50,s
44,s
14,r
75,r
53,r
106,r
20,s
2,r
107,r
113,r
25,r
25,s
23,s
22,r
7,r
34,r
32,s
7,r
93,r
50,r
130,r
140,s
14,r
5,r
114,r
140,r
38,r
348,r
21,r
15,s
55,r
15,s
16,r
26,r
62,r
13,r
17,r
91,r
104,r
8,r
105,s
31,r
43,s
10,r
62,r
9,r
51,r
42,r
15,s
95,r
2,r
169,r
9,s
123,r
65,r
115,r
7,r
43,r
136,r
22,s
7,r
